3,Region 3,1,355.747658,6000000.000000,6,6.38%
3,Region 3,3,216304.146140,46000000.000000,46,48.94%
3,Region 3,2,26627.415787,46000000.000000,46,48.94%
1,Region 1,1,1466.340177,11000000.000000,11,9.09%
1,Region 1,3,13837.701610,10000000.000000,10,8.26%
1,Region 1,2,105488.837775,88000000.000000,88,72.73%
1,Region 1,4,902.359018,13000000.000000,13,10.74%
1,Region 1,7,53.747332,4000000.000000,4,3.31%
4,Region 4,1,26884.220460,65000000.000000,65,28.26%
4,Region 4,3,291863.216396,70000000.000000,70,30.43%
4,Region 4,2,48260.411774,92000000.000000,92,40.00%
4,Region 4,4,477.251251,7000000.000000,7,3.04%
2,Region 2,1,1113.270785,11000000.000000,11,10.19%
2,Region 2,3,157977.541352,58000000.000000,58,53.70%
2,Region 2,2,7701.208609,29000000.000000,29,26.85%
2,Region 2,4,3171.919491,15000000.000000,15,13.89%
5,Region 5,1,27748.714430,37000000.000000,37,44.58%
5,Region 5,3,133262.033972,31000000.000000,31,37.35%
5,Region 5,2,2713.756942,15000000.000000,15,18.07%
5,Region 5,4,677.823622,5000000.000000,5,6.02%
6,Region 6,1,14377.698637,31000000.000000,31,57.41%
6,Region 6,3,56746.359740,14000000.000000,14,25.93%
6,Region 6,2,4117.270100,13000000.000000,13,24.07%
